TERT_I8_NT_Nuc_Ex,TERT_I8_NT_Cyto_Ex,TERT_I8_NT_Nuc_I,TERT_I8_NT_Cyto_I,TERT_I8_NT_FreeIntron,TERT_I8_NT_PIR,TERT_I8_SON_Nuc_Ex,TERT_I8_SON_Cyto_Ex,TERT_I8_SON_Nuc_I,TERT_I8_SON_Cyto_I,TERT_I8_SON_FreeIntron,TERT_I8_SON_PIR,TERT_I8_SRRM2_Nuc_Ex,TERT_I8_SRRM2_Cyto_Ex,TERT_I8_SRRM2_Nuc_I,TERT_I8_SRRM2_Cyto_I,TERT_I8_SRRM2_FreeIntron,TERT_I8_SRRM2_PIR,TERT_I8_SON_SRRM2_Nuc_Ex,TERT_I8_SON_SRRM2_Cyto_Ex,TERT_I8_SON_SRRM2_Nuc_I,TERT_I8_SON_SRRM2_Cyto_I,TERT_I8_SON_SRRM2_FreeIntron,TERT_I8_SON_SRRM2_PIR,TERT_I11_NT_Nuc_Ex,TERT_I11_NT_Cyto_Exon,TERT_I11_NT_Nuc_I,TERT_I11_NT_Cyto_I,TERT_I11_NT_FREE_INTRON,TERT_I11_NT_PIR,TERT_I11_SON_Nuc_Ex,TERT_I11_SON_Cyto_Exon,TERT_I11_SON_Nuc_I,TERT_I11_SON_Cyto_I,TERT_I11_SON_FREE_INTRON,TERT_I11_SON_PIR,TERT_I11_SRRM2_Nuc_Ex,TERT_I11_SRRM2_Cyto_Exon,TERT_I11_SRRM2_Nuc_I,TERT_I11_SRRM2_Cyto_I,TERT_I11_SRRM2_FREE_INTRON,TERT_I11_SRRM2_PIR,TERT_I11_SON_SRRM2_Nuc_Ex,TERT_I11_SON_SRRM2_Cyto_Exon,TERT_I11_SON_SRRM2_Nuc_I,TERT_I11_SON_SRRM2_Cyto_I,TERT_I11_SON_SRRM2_FREE_INTRON,TERT_I11_SON_SRRM2_PIR,CENPT_NT_Nuc_Ex,CENPT_NT_Cyto_Exon,CENPT_NT_Nuc_I,CENPT_NT_Cyto_I,CENPT_NT_FREE_INTRON,CENPT_NT_PIR,CENPT_SON_Nuc_Ex,CENPT_SON_Cyto_Exon,CENPT_SON_Nuc_I,CENPT_SON_Cyto_I,CENPT_SON_FREE_INTRON,CENPT_SON_PIR,CENPT_SRRM2_Nuc_Ex,CENPT_SRRM2_Cyto_Exon,CENPT_SRRM2_Nuc_I,CENPT_SRRM2_Cyto_I,CENPT_SRRM2_FREE_INTRON,CENPT_SRRM2_PIR,CENPT_SON_SRRM2_Nuc_Ex,CENPT_SON_SRRM2_Cyto_Exon,CENPT_SON_SRRM2_Nuc_I,CENPT_SON_SRRM2_Cyto_I,CENPT_SON_SRRM2_FREE_INTRON,CENPT_SON_SRRM2_PIR,COG4_NT_Nuc_Ex,COG4_NT_Cyto_Exon,COG4_NT_Nuc_I,COG4_NT_Cyto_I,COG4_NT_FREE_INTRON,COG4_NT_PIR,COG4_SON_Nuc_Ex,COG4_SON_Cyto_Exon,COG4_SON_Nuc_I,COG4_SON_Cyto_I,COG4_SON_FREE_INTRON,COG4_SON_PIR,COG4_SRRM2_Nuc_Ex,COG4_SRRM2_Cyto_Exon,COG4_SRRM2_Nuc_I,COG4_SRRM2_Cyto_I,COG4_SRRM2_FREE_INTRON,COG4_SRRM2_PIR,COG4_SON_SRRM2_Nuc_Ex,COG4_SON_SRRM2_Cyto_Exon,COG4_SON_SRRM2_Nuc_I,COG4_SON_SRRM2_Cyto_I,COG4_SON_SRRM2_FREE_INTRON,COG4_SON_SRRM2_PIR,RAD52_I10_NT_Nuc_Ex,RAD52_I10_NT_Cyto_Exon,RAD52_I10_NT_Nuc_I,RAD52_I10_NT_Cyto_I,RAD52_I10_NT_FREE_INTRON,RAD52_I10_NT_PIR,RAD52_I10_SON_Nuc_Ex,RAD52_I10_SON_Cyto_Exon,RAD52_I10_SON_Nuc_I,RAD52_I10_SON_Cyto_I,RAD52_I10_SON_FREE_INTRON,RAD52_I10_SON_PIR,RAD52_I10_SRRM2_Nuc_Ex,RAD52_I10_SRRM2_Cyto_Exon,RAD52_I10_SRRM2_Nuc_I,RAD52_I10_SRRM2_Cyto_I,RAD52_I10_SRRM2_FREE_INTRON,RAD52_I10_SRRM2_PIR,RAD52_I10_SON_SRRM2_Nuc_Ex,RAD52_I10_SON_SRRM2_Cyto_Exon,RAD52_I10_SON_SRRM2_Nuc_I,RAD52_I10_SON_SRRM2_Cyto_I,RAD52_I10_SON_SRRM2_FREE_INTRON,RAD52_I10_SON_SRRM2_PIR
14,2,2,0,0,14.29,5,1,2,0,0,40.00,9,0,1,0,0,11.11111111,6,7,0,0,0,0,6,1,5,0,0,83.33333333,8,1,7,0,0,87.5,12,1,11,0,1,91.66666667,10,4,8,0,0,80,31,4,16,0,2,51.61290323,7,2,3,0,3,42.85714286,24,4,20,0,2,83.33333333,24,1,22,0,8,91.66666667,25,7,14,0,1,56,12,15,7,0,2,58.33333333,25,12,12,0,0,48,22,16,10,0,0,45.45454545,17,1,11,0,0,64.70588235,11,2,4,0,1,36.36363636,18,1,6,0,1,33.33333333,9,0,5,0,0,55.55555556
9,2,2,0,0,22.22,11,0,2,0,0,18.18,9,3,2,0,0,22.22222222,9,4,0,0,2,0,10,0,6,0,0,60,4,0,4,0,2,100,5,1,4,0,0,80,4,1,2,0,0,50,12,4,4,0,0,33.33333333,12,1,8,0,5,66.66666667,18,3,8,0,4,44.44444444,7,1,7,0,1,100,14,9,7,1,2,50,36,18,20,0,3,55.55555556,18,21,8,0,1,44.44444444,24,39,9,0,1,37.5,13,0,8,0,0,61.53846154,11,2,5,0,1,45.45454545,7,1,4,0,0,57.14285714,13,1,6,0,0,46.15384615
15,3,2,0,0,13.33,7,2,2,0,0,28.57,4,1,0,0,0,0,11,4,0,0,1,0,4,1,3,0,2,75,12,1,11,0,0,91.66666667,5,2,3,0,0,60,6,1,5,0,0,83.33333333,22,8,18,0,1,81.81818182,4,0,2,0,1,50,17,3,14,0,1,82.35294118,18,7,11,0,2,61.11111111,17,7,15,0,2,88.23529412,14,9,11,0,0,78.57142857,10,26,6,0,1,60,19,25,11,0,2,57.89473684,13,1,6,0,0,46.15384615,12,2,8,0,0,66.66666667,16,1,9,0,0,56.25,6,1,5,0,0,83.33333333
16,3,3,0,0,18.75,11,0,1,0,0,9.09,12,3,2,0,1,16.66666667,8,5,0,0,1,0,7,2,6,0,1,85.71428571,4,0,3,0,0,75,9,1,8,0,1,88.88888889,10,1,5,0,0,50,31,2,27,0,2,87.09677419,9,4,6,0,0,66.66666667,29,6,22,0,2,75.86206897,22,4,13,0,1,59.09090909,19,5,10,0,0,52.63157895,9,18,3,0,2,33.33333333,28,17,13,0,1,46.42857143,18,11,10,0,3,55.55555556,9,2,5,0,0,55.55555556,11,1,5,0,0,45.45454545,12,1,9,0,0,75,20,0,9,0,1,45
5,5,2,0,0,40.00,5,0,1,0,0,20.00,9,1,2,0,0,22.22222222,7,3,0,0,1,0,7,0,4,0,1,57.14285714,6,0,6,0,1,100,8,4,5,0,0,62.5,4,0,3,0,0,75,14,3,10,0,1,71.42857143,16,3,15,0,1,93.75,24,5,14,0,0,58.33333333,16,3,10,0,1,62.5,19,4,11,0,2,57.89473684,17,8,7,0,2,41.17647059,25,10,16,0,0,64,13,20,5,0,2,38.46153846,8,2,3,0,0,37.5,17,1,8,0,0,47.05882353,10,2,5,0,2,50,15,1,6,0,0,40
10,2,2,0,1,20.00,3,2,1,0,0,33.33,15,2,1,0,0,6.666666667,11,2,0,0,1,0,11,0,8,0,1,72.72727273,11,2,8,0,1,72.72727273,4,0,4,0,0,100,4,0,3,0,0,75,22,4,16,0,2,72.72727273,12,1,9,0,1,75,10,6,3,0,2,30,13,4,8,0,0,61.53846154,25,5,12,0,2,48,15,9,8,0,1,53.33333333,20,12,16,0,0,80,24,8,17,0,1,70.83333333,19,1,8,0,0,42.10526316,12,1,6,0,0,50,7,2,3,0,1,42.85714286,7,0,5,0,0,71.42857143
9,3,1,0,0,11.11,15,1,2,0,0,13.33,11,0,2,0,0,18.18181818,3,2,0,0,1,0,13,1,7,0,1,53.84615385,5,2,3,0,0,60,15,0,7,0,1,46.66666667,7,1,3,0,0,42.85714286,30,8,24,0,3,80,7,0,3,0,0,42.85714286,11,7,9,0,1,81.81818182,20,6,12,0,4,60,16,5,9,0,1,56.25,14,17,6,0,1,42.85714286,18,17,12,0,1,66.66666667,28,16,17,0,2,60.71428571,7,0,4,0,0,57.14285714,7,1,6,0,0,85.71428571,26,2,20,0,0,76.92307692,15,1,12,0,1,80
4,3,1,0,0,25.00,4,3,1,0,0,25.00,7,1,0,0,0,0,11,4,3,0,0,27.27272727,15,2,11,0,0,73.33333333,14,0,9,0,1,64.28571429,8,2,7,0,0,87.5,5,2,5,0,0,100,20,5,11,0,4,55,9,4,5,0,2,55.55555556,23,7,21,0,1,91.30434783,17,6,7,0,5,41.17647059,12,8,7,1,1,58.33333333,25,18,20,0,3,80,11,12,7,0,0,63.63636364,20,15,14,0,0,70,13,1,8,0,0,61.53846154,7,2,1,0,0,14.28571429,21,1,9,0,0,42.85714286,16,1,11,0,3,68.75
18,3,1,0,0,5.56,8,0,1,0,0,12.50,9,4,1,0,2,11.11111111,15,2,1,0,0,6.666666667,8,2,4,0,0,50,15,1,12,0,0,80,9,0,7,0,0,77.77777778,5,1,5,0,1,100,26,7,16,0,1,61.53846154,9,1,6,0,1,66.66666667,13,7,10,0,2,76.92307692,21,2,15,0,4,71.42857143,11,9,4,0,3,36.36363636,14,15,6,0,1,42.85714286,16,11,8,0,1,50,25,16,11,0,1,44,10,3,5,0,0,50,10,1,7,0,0,70,6,2,2,0,2,33.33333333,12,0,5,0,1,41.66666667
6,3,1,0,0,16.67,15,1,2,0,0,13.33,8,2,1,0,0,12.5,9,4,2,0,0,22.22222222,12,3,7,0,0,58.33333333,1,1,1,0,0,100,9,0,8,0,0,88.88888889,2,0,2,0,0,100,14,1,5,0,0,35.71428571,14,2,5,0,1,35.71428571,10,6,8,0,2,80,16,6,10,0,4,62.5,15,6,7,0,1,46.66666667,15,15,9,0,2,60,13,8,8,0,1,61.53846154,12,8,8,0,1,66.66666667,9,0,7,0,0,77.77777778,11,0,8,0,0,72.72727273,21,2,10,0,1,47.61904762,19,1,7,0,0,36.84210526
7,3,1,0,0,14.29,10,0,1,0,0,10.00,7,0,1,0,0,14.28571429,7,1,0,0,1,0,8,2,4,0,0,50,7,0,4,0,0,57.14285714,10,1,6,0,1,60,8,0,6,0,0,75,14,3,8,0,2,57.14285714,8,2,5,0,1,62.5,24,6,21,0,0,87.5,21,3,10,0,1,47.61904762,12,5,7,0,1,58.33333333,12,16,7,0,2,58.33333333,28,14,18,0,1,64.28571429,12,10,8,0,2,66.66666667,15,0,12,0,1,80,11,1,6,0,1,54.54545455,18,2,8,0,0,44.44444444,16,1,8,0,0,50
13,1,3,0,0,23.08,6,0,1,0,0,16.67,24,1,2,0,1,8.333333333,14,3,1,0,0,7.142857143,12,2,12,0,0,100,7,2,5,0,0,71.42857143,12,0,11,0,0,91.66666667,5,0,3,0,1,60,20,6,17,0,1,85,15,3,11,0,4,73.33333333,14,5,11,0,2,78.57142857,13,8,5,0,1,38.46153846,3,11,1,0,4,33.33333333,28,8,16,0,2,57.14285714,25,11,10,0,0,40,13,9,11,0,1,84.61538462,7,0,3,0,1,42.85714286,8,1,5,0,0,62.5,9,1,4,0,0,44.44444444,20,0,11,0,1,55
10,3,1,0,0,10.00,9,1,1,0,0,11.11,4,1,0,0,0,0,7,5,1,0,0,14.28571429,16,2,13,0,0,81.25,7,1,7,0,0,100,7,3,6,0,0,85.71428571,8,1,6,0,1,75,19,4,13,0,2,68.42105263,20,7,13,0,5,65,10,6,5,0,1,50,20,3,4,0,3,20,14,9,7,0,2,50,11,10,5,0,1,45.45454545,25,12,13,0,0,52,18,17,11,0,2,61.11111111,14,2,8,0,0,57.14285714,8,0,2,0,0,25,10,2,10,0,1,100,22,2,17,0,1,77.27272727
15,3,1,0,0,6.67,9,0,1,0,1,11.11,10,0,1,0,0,10,18,3,2,0,0,11.11111111,20,3,18,0,0,90,5,2,4,0,0,80,10,1,10,0,0,100,5,1,4,0,1,80,17,6,10,0,2,58.82352941,8,3,2,0,5,25,24,4,20,0,3,83.33333333,15,6,4,0,3,26.66666667,11,3,7,0,1,63.63636364,13,10,9,0,0,69.23076923,25,18,12,0,1,48,28,18,18,0,1,64.28571429,10,2,5,0,1,50,13,1,6,0,0,46.15384615,13,2,7,0,0,53.84615385,13,1,7,0,0,53.84615385
7,2,2,0,0,28.57,17,1,1,0,0,5.88,9,3,2,0,0,22.22222222,9,1,1,0,0,11.11111111,11,2,7,0,0,63.63636364,6,1,5,0,0,83.33333333,5,0,2,0,0,40,2,0,1,0,0,50,34,9,26,0,3,76.47058824,8,4,6,0,2,75,21,1,15,0,1,71.42857143,19,4,11,0,2,57.89473684,13,10,5,0,2,38.46153846,16,7,7,0,2,43.75,18,11,8,0,1,44.44444444,22,20,9,0,2,40.90909091,9,1,4,0,0,44.44444444,13,2,7,0,0,53.84615385,10,1,6,0,1,60,13,0,9,0,0,69.23076923
14,1,1,0,0,7.14,7,1,1,0,0,14.29,4,0,0,0,1,0,4,0,0,0,0,0,14,5,11,0,0,78.57142857,5,1,4,0,2,80,5,3,5,0,0,100,5,1,2,0,0,40,18,7,6,0,3,33.33333333,5,1,4,0,2,80,15,7,12,0,2,80,20,1,16,0,1,80,23,10,16,0,4,69.56521739,30,14,23,0,1,76.66666667,8,11,5,0,0,62.5,18,14,8,0,2,44.44444444,7,2,4,0,0,57.14285714,5,3,4,0,0,80,15,2,11,0,0,73.33333333,10,1,8,0,0,80
11,1,2,0,0,18.18,8,2,1,0,0,12.50,5,2,1,0,0,20,5,0,0,0,1,0,16,2,15,0,0,93.75,5,1,5,0,0,100,8,1,5,0,0,62.5,5,3,5,0,0,100,23,2,15,0,2,65.2173913,18,2,12,0,3,66.66666667,18,2,12,0,1,66.66666667,27,2,22,0,5,81.48148148,9,3,4,0,0,44.44444444,26,14,9,0,1,34.61538462,7,8,6,0,1,85.71428571,19,16,13,0,3,68.42105263,18,2,7,0,0,38.88888889,14,1,8,0,0,57.14285714,7,4,4,0,0,57.14285714,15,2,9,0,0,60
5,2,2,0,0,40.00,15,1,1,0,0,6.67,9,2,1,0,0,11.11111111,10,4,3,0,2,30,7,1,6,0,0,85.71428571,5,1,4,0,1,80,14,0,11,0,0,78.57142857,7,0,3,0,0,42.85714286,26,3,19,0,2,73.07692308,12,5,8,1,2,66.66666667,18,5,15,0,2,83.33333333,11,5,8,0,2,72.72727273,9,7,5,0,1,55.55555556,28,14,15,0,2,53.57142857,18,10,10,0,0,55.55555556,30,15,18,0,3,60,20,3,12,0,0,60,13,3,4,0,0,30.76923077,15,2,9,0,0,60,7,1,6,0,0,85.71428571
15,3,2,0,0,13.33,9,0,1,0,0,11.11,12,2,3,0,0,25,17,2,2,0,0,11.76470588,7,3,4,0,1,57.14285714,7,1,6,0,0,85.71428571,15,1,12,0,0,80,5,2,3,0,0,60,27,4,19,0,0,70.37037037,13,3,11,0,2,84.61538462,14,5,11,0,1,78.57142857,16,4,13,0,3,81.25,16,6,8,0,3,50,18,26,8,0,0,28.57142857,30,14,22,0,0,73.33333333,20,14,13,0,2,65,10,1,5,0,0,50,12,0,7,0,0,58.33333333,10,3,4,0,0,40,19,4,10,2,0,52.63157895
11,2,1,0,1,9.09,18,2,2,0,1,11.11,15,2,1,0,0,6.666666667,7,1,0,0,1,0,10,3,9,0,0,90,5,1,3,0,0,60,9,2,7,0,0,77.77777778,11,0,7,0,0,63.63636364,25,9,19,0,4,76,17,5,13,0,4,76.47058824,30,7,23,0,0,76.66666667,23,6,12,0,3,52.17391304,14,7,10,0,0,71.42857143,16,11,7,0,1,43.75,17,14,11,0,2,64.70588235,25,14,17,0,2,68,9,3,6,0,2,66.66666667,7,1,4,0,0,57.14285714,13,2,8,0,0,61.53846154,15,1,11,0,0,73.33333333
20,2,2,0,0,10.00,18,3,2,0,0,11.11,6,0,2,0,0,33.33333333,8,2,0,0,0,0,7,1,6,0,0,85.71428571,2,1,1,0,0,50,10,1,5,0,0,50,8,1,6,0,3,75,26,10,20,0,5,76.92307692,20,9,14,0,3,70,27,8,24,0,0,88.88888889,21,6,8,0,5,38.0952381,9,8,5,0,0,55.55555556,18,11,6,0,0,33.33333333,10,10,3,0,1,30,10,7,7,0,0,70,12,0,5,0,2,41.66666667,13,1,8,0,0,61.53846154,17,4,8,0,4,47.05882353,20,3,10,0,0,50
16,3,1,0,1,6.25,8,1,1,0,0,11.11,11,1,1,0,0,9.090909091,11,2,0,0,0,0,18,3,14,0,0,77.77777778,8,0,6,0,0,75,8,1,5,0,1,62.5,3,1,2,0,1,66.66666667,25,10,22,0,2,88,12,2,6,0,1,50,15,5,13,0,3,86.66666667,14,7,9,0,1,64.28571429,10,7,7,0,1,70,18,9,11,0,1,61.11111111,16,11,10,0,0,62.5,11,9,3,0,0,27.27272727,15,1,8,0,0,53.33333333,10,1,4,0,0,40,11,2,6,0,1,54.54545455,10,2,4,0,0,40
14,1,2,0,0,14.29,8,0,1,0,0,12.50,8,2,0,0,0,0,8,0,0,0,0,0,8,1,6,0,0,75,7,0,5,0,0,71.42857143,8,1,7,0,0,87.5,6,2,3,0,0,50,25,2,18,0,2,72,26,8,18,0,3,69.23076923,21,4,10,0,2,47.61904762,16,10,8,0,6,50,10,5,3,0,1,30,18,10,7,0,0,38.88888889,18,19,13,0,1,72.22222222,25,9,18,0,0,72,7,3,4,0,1,57.14285714,15,0,8,0,0,53.33333333,13,0,8,0,0,61.53846154,13,3,7,0,0,53.84615385
6,1,1,0,0,16.67,15,3,2,0,0,13.33,5,1,0,0,0,0,8,0,2,0,1,25,4,1,2,0,0,50,7,1,7,0,0,100,12,2,7,0,0,58.33333333,9,2,7,0,0,77.77777778,16,5,10,0,1,62.5,19,5,11,0,0,57.89473684,25,3,18,0,2,72,20,5,11,0,2,55,13,7,4,0,1,30.76923077,23,11,8,0,0,34.7826087,15,16,8,0,0,53.33333333,37,12,22,0,1,59.45945946,12,1,5,0,0,41.66666667,9,0,4,0,0,44.44444444,11,2,6,0,0,54.54545455,21,3,11,0,0,52.38095238
5,2,1,0,0,20.00,13,2,2,0,1,15.38,9,2,3,0,0,33.33333333,9,2,1,0,0,11.11111111,10,4,3,0,1,30,6,1,2,0,0,33.33333333,9,1,3,0,1,33.33333333,5,1,4,0,0,80,23,4,16,0,2,69.56521739,20,6,12,0,3,60,15,3,9,0,2,60,25,5,12,0,1,48,12,12,5,0,1,41.66666667,16,10,7,0,2,43.75,17,18,13,0,3,76.47058824,16,13,4,0,0,25,8,2,5,0,0,62.5,9,0,5,0,0,55.55555556,12,1,5,0,0,41.66666667,16,2,9,0,0,56.25
10,3,2,0,0,20.00,7,1,1,0,0,14.29,4,1,0,0,1,0,7,1,1,0,0,14.28571429,9,1,8,0,1,88.88888889,4,1,3,0,0,75,4,3,2,0,0,50,7,1,6,0,0,85.71428571,14,4,9,0,5,64.28571429,8,3,8,0,2,100,13,9,9,0,1,69.23076923,12,8,4,0,1,33.33333333,11,8,5,0,2,45.45454545,17,13,11,0,0,64.70588235,18,13,11,0,1,61.11111111,26,15,14,0,1,53.84615385,10,2,4,0,0,40,10,1,4,0,0,40,16,3,9,0,0,56.25,23,2,12,0,0,52.17391304
8,2,1,0,0,12.50,8,0,1,0,0,12.50,9,3,1,0,0,11.11111111,3,0,0,0,0,0,13,3,13,0,0,100,8,0,4,0,2,50,7,1,4,0,0,57.14285714,6,1,4,0,0,66.66666667,19,4,13,0,3,68.42105263,16,4,14,0,2,87.5,23,6,15,0,2,65.2173913,15,12,10,0,2,66.66666667,6,4,4,0,2,66.66666667,13,7,7,0,2,53.84615385,19,16,11,0,2,57.89473684,25,10,13,0,2,52,8,1,5,0,0,62.5,7,1,5,0,0,71.42857143,27,2,19,0,0,70.37037037,21,1,11,0,0,52.38095238
9,2,2,0,0,22.22,7,0,2,0,0,28.57,9,1,0,0,0,0,11,0,1,0,0,9.090909091,6,2,2,0,0,33.33333333,6,0,6,0,1,100,9,1,6,0,0,66.66666667,3,0,2,0,0,66.66666667,29,6,23,0,3,79.31034483,12,6,4,0,2,33.33333333,8,5,4,0,1,50,20,11,9,0,7,45,16,10,6,0,1,37.5,11,5,8,0,2,72.72727273,14,9,9,0,0,64.28571429,18,15,13,0,6,72.22222222,16,0,9,0,1,56.25,7,0,6,0,0,85.71428571,11,0,10,0,1,90.90909091,16,2,10,0,0,62.5
12,2,1,0,0,8.33,11,2,2,0,0,18.18,15,2,2,0,1,13.33333333,8,2,1,0,0,12.5,7,3,5,0,0,71.42857143,3,1,3,0,0,100,8,2,6,0,1,75,4,1,4,0,1,100,20,4,10,0,2,50,12,5,6,0,0,50,19,4,13,0,3,68.42105263,26,11,16,0,8,61.53846154,12,6,8,0,0,66.66666667,20,19,12,0,0,60,19,15,12,0,2,63.15789474,26,16,17,0,2,65.38461538,8,1,8,0,1,100,6,0,4,0,0,66.66666667,11,2,8,0,0,72.72727273,13,3,8,0,1,61.53846154
9,2,1,0,0,11.11,6,2,1,0,0,33.33,7,2,1,0,0,14.28571429,6,2,0,0,0,0,11,5,10,0,0,90.90909091,7,0,4,0,0,57.14285714,9,1,5,0,0,55.55555556,4,1,3,0,0,75,21,4,12,0,4,57.14285714,10,3,4,0,2,40,17,4,9,0,1,52.94117647,12,4,6,0,2,50,7,4,4,0,1,57.14285714,11,20,7,0,3,63.63636364,16,12,11,1,,68.75,28,13,20,0,4,71.42857143,13,1,9,0,0,69.23076923,12,2,5,0,0,41.66666667,15,1,10,0,1,66.66666667,17,1,9,0,0,52.94117647