	Distance_sc35	log2FoldChange_SON_intron			Distance_sc35	log2FoldChange_SON_exon			Distance_sc35	log2FoldChange_SON_total
TERT I11	0.05	1.53832416		TERT I11	0.05	3.854851272		TERT I11	0.05	2.215550255
RAD52 I10	0.14	0.98302831		EZH2 I12	0.18	-0.293832245		RAD52 I10	0.14	1.661341381
EZH2 I12	0.18	0.05697118		BRD8 I9	0.17	1.111368856		EZH2 I12	0.18	0.113470722
BRD8 I9	0.17	1.3153869		DDX17 I11	0.2	0.386074082		BRD8 I9	0.17	1.336025093
DDX17 I11	0.2	0.9739191		RAD52 I10	0.14	2.788958445		DDX17 I11	0.2	0.700194034
FANCA I5	0.06	1.68661717		FANCA I5	0.06	3.348022919		FANCA I5	0.06	2.344602904
COG4 I7	0.11	2.10427522		COG4 I7	0.11	1.942852094		COG4 I7	0.11	2.217114054
CENPT I11	0.02	3.46719332		CENPT I11	0.02	3.073825637		CENPT I11	0.02	2.975793386
MEG3 I4	0.14	0.38730649		MEG3 I4	0.14	-0.427556425		MEG3 I4	0.14	1.145930673
AASS I13 	0.25	0.16748771		AASS I13 	0.25	0.940141623		AASS I13 	0.25	0.572633742
DNMT3B I10	0.12	1.45654661		DNMT3B I10	0.12	1.357329926		DNMT3B I10	0.12	1.576556044
SON I8	0.06	1.20882247		SON I8	0.06	2.666393484		SON I8	0.06	2.073111556
TELO2 I17	-0.03	3.36824767		TELO2 I17	-0.03	2.934471524		TELO2 I17	-0.03	3.346210399
PTBP1 I9	-0.02	2.5651866		PTBP1 I9	-0.02	1.18223248		 PTBP1 I9	-0.02	1.751599952
METTL3 I8_19	0.027	1.33240988		METTL3 I8_19	0.027	2.293616266		METTL3 I8_19	0.027	1.756070388
LAMA5 I34	-0.05	2.8832443		LAMA5 I34	-0.05	3.064245552		LAMA5 I34	-0.05	3.081962561
WEE1 I19	0.22	0.46974558		WEE1 I19	0.22	0.18453558		WEE1 I19	0.22	0.290190535
SFPQ I9	0.26	-0.0557683		SFPQ I9	0.26	-1.233134534		SFPQ I9	0.26	-0.756316214
TUG1 I1	0.22	0.33150352		TUG1 I1	0.22	0.128221461		TUG1 I1	0.22	-0.079744466