pattern,match_name,pattern_name,cam_side,num_seqlets,qval,qval_log
pos_patterns.pattern_0,RBFOX3,pos,left,54,0.012516,1.9025344455258444
pos_patterns.pattern_1,PCBP2,pos,left,50,0.096385,1.0159905482974618
pos_patterns.pattern_2,HNRNPH2,pos,left,50,0.139341,0.8559210770157203
pos_patterns.pattern_3,TAF15,pos,left,44,0.057898,1.2373364380681715
pos_patterns.pattern_4,HNRNPA2B1,pos,left,41,0.981476,0.008120315722662808
pos_patterns.pattern_5,EWSR1,pos,left,40,0.004898,2.3099812192113047
pos_patterns.pattern_6,RBM10,pos,left,33,0.053674,1.2702360381544533
pos_patterns.pattern_7,RBFOX3,pos,left,33,0.142163,0.8472134203905817
pos_patterns.pattern_8,RBM24,pos,left,33,0.206197,0.6857176576408807
pos_patterns.pattern_9,TAF15,pos,left,29,0.038667,1.412659521590934
pos_patterns.pattern_10,PCBP2,pos,left,25,0.051991,1.284071829223369
pos_patterns.pattern_11,PCBP2,pos,left,22,0.088392,1.053587039433481
pos_patterns.pattern_12,HNRNPH2,pos,left,22,0.108799,0.9633750963334065
pos_patterns.pattern_13,HNRNPA1,pos,left,20,1.0,-0.0
neg_patterns.pattern_0,HNRNPL,neg,left,294,1.0,-0.0
pos_patterns.pattern_0,RBFOX1,pos,left,54,0.012516,1.9025344455258444
pos_patterns.pattern_1,RBM6,pos,left,50,0.096385,1.0159905482974618
pos_patterns.pattern_2,ILF2,pos,left,50,0.139341,0.8559210770157203
pos_patterns.pattern_3,SRSF1,pos,left,44,0.057898,1.2373364380681715
pos_patterns.pattern_4,ILF2,pos,left,41,0.981476,0.008120315722662808
pos_patterns.pattern_5,HNRNPF,pos,left,40,0.004898,2.3099812192113047
pos_patterns.pattern_6,RBM10,pos,left,33,0.053674,1.2702360381544533
pos_patterns.pattern_7,RBM4B,pos,left,33,0.188499,0.7246909494138057
pos_patterns.pattern_8,FMR1,pos,left,33,0.278334,0.5554337390110021
pos_patterns.pattern_9,PCBP2,pos,left,29,0.038667,1.412659521590934
pos_patterns.pattern_10,HNRNPF,pos,left,25,0.051991,1.284071829223369
pos_patterns.pattern_11,TAF15,pos,left,22,0.088392,1.053587039433481
pos_patterns.pattern_12,RBM23,pos,left,22,0.139872,0.8542692151904414
pos_patterns.pattern_13,RBM4B,pos,left,20,1.0,-0.0
neg_patterns.pattern_0,A1CF,neg,left,294,1.0,-0.0
pos_patterns.pattern_0,EWSR1,pos,left,54,0.019596,1.707832569215707
pos_patterns.pattern_1,GRSF1,pos,left,50,0.096385,1.0159905482974618
pos_patterns.pattern_2,HNRNPF,pos,left,50,0.139341,0.8559210770157203
pos_patterns.pattern_3,ILF2,pos,left,44,0.057898,1.2373364380681715
pos_patterns.pattern_4,RBM28,pos,left,41,0.981476,0.008120315722662808
pos_patterns.pattern_5,RBM23,pos,left,40,0.005741,2.241012453132381
pos_patterns.pattern_6,PCBP2,pos,left,33,0.053674,1.2702360381544533
pos_patterns.pattern_7,RBM25,pos,left,33,0.188499,0.7246909494138057
pos_patterns.pattern_8,RBM23,pos,left,33,0.278334,0.5554337390110021
pos_patterns.pattern_9,ILF2,pos,left,29,0.038667,1.412659521590934
pos_patterns.pattern_10,EWSR1,pos,left,25,0.051991,1.284071829223369
pos_patterns.pattern_11,SRSF1,pos,left,22,0.130548,0.8842297771969707
pos_patterns.pattern_12,TAF15,pos,left,22,0.139872,0.8542692151904414
pos_patterns.pattern_13,RBM28,pos,left,20,1.0,-0.0
neg_patterns.pattern_0,IGF2BP2,neg,left,294,1.0,-0.0
pos_patterns.pattern_1,HNRNPA2B1,pos,right,41,1.0,-0.0
pos_patterns.pattern_2,EWSR1,pos,right,41,0.025822,1.5880101232111405
pos_patterns.pattern_3,HEXIM1,pos,right,32,0.075917,1.1196609621875642
pos_patterns.pattern_4,SRSF1,pos,right,27,0.074857,1.125767581837584
pos_patterns.pattern_5,HNRNPH1,pos,right,25,0.451393,0.3454451800498943
pos_patterns.pattern_6,SRSF1,pos,right,23,0.011144,1.952958896584093
neg_patterns.pattern_0,PABPC4,neg,right,112,0.010018,1.9992189726465044
neg_patterns.pattern_1,ZFP36,neg,right,111,0.035775,1.446420357568186
neg_patterns.pattern_2,HNRNPH2,neg,right,92,0.7103,0.1485581853279449
neg_patterns.pattern_3,NUPL2,neg,right,61,0.049988,1.3011342388493206
neg_patterns.pattern_4,RBM5,neg,right,58,0.123687,0.907675944064929
neg_patterns.pattern_5,PTBP2,neg,right,57,0.384468,0.41513980151081886
neg_patterns.pattern_6,SRSF2,neg,right,56,0.167991,0.7747139846731661
neg_patterns.pattern_7,RBM24,neg,right,43,0.082209,1.0850806345721693
neg_patterns.pattern_8,SRSF10,neg,right,32,0.33465,0.47540917066048105
neg_patterns.pattern_9,CPEB3,neg,right,30,0.031017,1.5084002099541312
neg_patterns.pattern_10,YBX2,neg,right,24,0.225294,0.6472503741953406
pos_patterns.pattern_1,HNRNPA2B1,pos,right,41,1.0,-0.0
pos_patterns.pattern_2,TAF15,pos,right,41,0.029617,1.5284589346544486
pos_patterns.pattern_3,HNRNPH2,pos,right,32,0.245402,0.6101219021411077
pos_patterns.pattern_4,RBM23,pos,right,27,0.088737,1.051895257898811
pos_patterns.pattern_5,HNRNPH3,pos,right,25,0.451393,0.3454451800498943
pos_patterns.pattern_6,EWSR1,pos,right,23,0.059983,1.2219718171549536
neg_patterns.pattern_0,ELAVL1,neg,right,112,0.018376,1.7357490178130304
neg_patterns.pattern_1,RBM24,neg,right,111,0.035775,1.446420357568186
neg_patterns.pattern_2,RBM5,neg,right,92,0.7103,0.1485581853279449
neg_patterns.pattern_3,ELAVL2,neg,right,61,0.049988,1.3011342388493206
neg_patterns.pattern_4,SRSF2,neg,right,58,0.281422,0.5506419548574413
neg_patterns.pattern_5,SRSF10,neg,right,57,0.384468,0.41513980151081886
neg_patterns.pattern_6,PTBP2,neg,right,56,0.215007,0.6675474004942318
neg_patterns.pattern_7,ELAVL2,neg,right,43,0.162742,0.7885003510930992
neg_patterns.pattern_8,SRSF10,neg,right,32,0.33465,0.47540917066048105
neg_patterns.pattern_9,RBM15,neg,right,30,0.031017,1.5084002099541312
neg_patterns.pattern_10,BOLL,neg,right,24,0.225294,0.6472503741953406
pos_patterns.pattern_1,HNRNPF,pos,right,41,1.0,-0.0
pos_patterns.pattern_2,PCBP2,pos,right,41,0.029617,1.5284589346544486
pos_patterns.pattern_3,EWSR1,pos,right,32,0.306266,0.5139012135492089
pos_patterns.pattern_4,SRSF1,pos,right,27,0.088737,1.051895257898811
pos_patterns.pattern_5,GRSF1,pos,right,25,0.451393,0.3454451800498943
pos_patterns.pattern_6,ARGLU1,pos,right,23,0.075989,1.119249270680466
neg_patterns.pattern_0,PABPC1L2A,neg,right,112,0.018376,1.7357490178130304
neg_patterns.pattern_1,ELAVL2,neg,right,111,0.084909,1.0710462739117659
neg_patterns.pattern_2,SRSF10,neg,right,92,0.7103,0.1485581853279449
neg_patterns.pattern_3,ELAVL1,neg,right,61,0.049988,1.3011342388493206
neg_patterns.pattern_4,SRSF10,neg,right,58,0.281422,0.5506419548574413
neg_patterns.pattern_5,RBM10,neg,right,57,0.384468,0.41513980151081886
neg_patterns.pattern_6,SRSF1,neg,right,56,0.215007,0.6675474004942318
neg_patterns.pattern_7,ELAVL2,neg,right,43,0.162742,0.7885003510930992
neg_patterns.pattern_8,PUF60,neg,right,32,0.33465,0.47540917066048105
neg_patterns.pattern_9,CPEB4,neg,right,30,0.031017,1.5084002099541312
neg_patterns.pattern_10,ZNF638,neg,right,24,0.225294,0.6472503741953406
