bin,coverage,motif,group,region
0,0.028528528528528527,G4_2t_short,Retained,left
1,0.044294294294294295,G4_2t_short,Retained,left
2,0.062062062062062065,G4_2t_short,Retained,left
3,0.07169669669669669,G4_2t_short,Retained,left
4,0.08395895895895895,G4_2t_short,Retained,left
5,0.09034034034034034,G4_2t_short,Retained,left
6,0.09922422422422422,G4_2t_short,Retained,left
7,0.10435435435435435,G4_2t_short,Retained,left
8,0.11148648648648649,G4_2t_short,Retained,left
9,0.11298798798798798,G4_2t_short,Retained,left
10,0.11611611611611612,G4_2t_short,Retained,left
11,0.11373873873873874,G4_2t_short,Retained,left
12,0.11874374374374375,G4_2t_short,Retained,left
13,0.12287287287287288,G4_2t_short,Retained,left
14,0.129004004004004,G4_2t_short,Retained,left
15,0.13551051051051052,G4_2t_short,Retained,left
16,0.15503003003003002,G4_2t_short,Retained,left
17,0.16704204204204204,G4_2t_short,Retained,left
18,0.17917917917917917,G4_2t_short,Retained,left
19,0.27427427427427425,G4_2t_short,Retained,left
20,0.3141891891891892,G4_2t_short,Retained,core
21,0.30793293293293295,G4_2t_short,Retained,core
22,0.2986736736736737,G4_2t_short,Retained,core
23,0.28716216216216217,G4_2t_short,Retained,core
24,0.27427427427427425,G4_2t_short,Retained,core
25,0.267017017017017,G4_2t_short,Retained,core
26,0.2577577577577578,G4_2t_short,Retained,core
27,0.2538788788788789,G4_2t_short,Retained,core
28,0.2464964964964965,G4_2t_short,Retained,core
29,0.24537037037037038,G4_2t_short,Retained,core
30,0.24049049049049048,G4_2t_short,Retained,core
31,0.24174174174174173,G4_2t_short,Retained,core
32,0.23636136136136135,G4_2t_short,Retained,core
33,0.23573573573573572,G4_2t_short,Retained,core
34,0.23123123123123124,G4_2t_short,Retained,core
35,0.22935435435435436,G4_2t_short,Retained,core
36,0.2301051051051051,G4_2t_short,Retained,core
37,0.22997997997998,G4_2t_short,Retained,core
38,0.2256006006006006,G4_2t_short,Retained,core
39,0.22134634634634634,G4_2t_short,Retained,core
40,0.2195945945945946,G4_2t_short,Retained,core
41,0.21659159159159158,G4_2t_short,Retained,core
42,0.2222222222222222,G4_2t_short,Retained,core
43,0.22685185185185186,G4_2t_short,Retained,core
44,0.21909409409409408,G4_2t_short,Retained,core
45,0.21396396396396397,G4_2t_short,Retained,core
46,0.21171171171171171,G4_2t_short,Retained,core
47,0.2172172172172172,G4_2t_short,Retained,core
48,0.21008508508508508,G4_2t_short,Retained,core
49,0.20895895895895897,G4_2t_short,Retained,core
50,0.2095845845845846,G4_2t_short,Retained,core
51,0.21346346346346345,G4_2t_short,Retained,core
52,0.21283783783783783,G4_2t_short,Retained,core
53,0.21746746746746748,G4_2t_short,Retained,core
54,0.21196196196196196,G4_2t_short,Retained,core
55,0.21196196196196196,G4_2t_short,Retained,core
56,0.20758258258258258,G4_2t_short,Retained,core
57,0.20833333333333334,G4_2t_short,Retained,core
58,0.2072072072072072,G4_2t_short,Retained,core
59,0.20445445445445445,G4_2t_short,Retained,core
60,0.20157657657657657,G4_2t_short,Retained,core
61,0.20545545545545546,G4_2t_short,Retained,core
62,0.19994994994994994,G4_2t_short,Retained,core
63,0.2032032032032032,G4_2t_short,Retained,core
64,0.20045045045045046,G4_2t_short,Retained,core
65,0.20520520520520522,G4_2t_short,Retained,core
66,0.1971971971971972,G4_2t_short,Retained,core
67,0.1941941941941942,G4_2t_short,Retained,core
68,0.19369369369369369,G4_2t_short,Retained,core
69,0.19156656656656657,G4_2t_short,Retained,core
70,0.19544544544544545,G4_2t_short,Retained,core
71,0.20007507507507508,G4_2t_short,Retained,core
72,0.19281781781781782,G4_2t_short,Retained,core
73,0.19406906906906907,G4_2t_short,Retained,core
74,0.1931931931931932,G4_2t_short,Retained,core
75,0.1933183183183183,G4_2t_short,Retained,core
76,0.1891891891891892,G4_2t_short,Retained,core
77,0.19144144144144143,G4_2t_short,Retained,core
78,0.19019019019019018,G4_2t_short,Retained,core
79,0.1831831831831832,G4_2t_short,Retained,core
80,0.1853103103103103,G4_2t_short,Retained,core
81,0.18606106106106107,G4_2t_short,Retained,core
82,0.1896896896896897,G4_2t_short,Retained,core
83,0.18230730730730732,G4_2t_short,Retained,core
84,0.17642642642642642,G4_2t_short,Retained,core
85,0.1737987987987988,G4_2t_short,Retained,core
86,0.17317317317317318,G4_2t_short,Retained,core
87,0.1753003003003003,G4_2t_short,Retained,core
88,0.16941941941941943,G4_2t_short,Retained,core
89,0.17517517517517517,G4_2t_short,Retained,core
90,0.17467467467467468,G4_2t_short,Retained,core
91,0.17167167167167166,G4_2t_short,Retained,core
92,0.17154654654654655,G4_2t_short,Retained,core
93,0.1704204204204204,G4_2t_short,Retained,core
94,0.16516516516516516,G4_2t_short,Retained,core
95,0.16616616616616617,G4_2t_short,Retained,core
96,0.16691691691691693,G4_2t_short,Retained,core
97,0.16916916916916916,G4_2t_short,Retained,core
98,0.1679179179179179,G4_2t_short,Retained,core
99,0.16954454454454454,G4_2t_short,Retained,core
100,0.16654154154154155,G4_2t_short,Retained,core
101,0.1664164164164164,G4_2t_short,Retained,core
102,0.16654154154154155,G4_2t_short,Retained,core
103,0.17117117117117117,G4_2t_short,Retained,core
104,0.16604104104104103,G4_2t_short,Retained,core
105,0.16241241241241242,G4_2t_short,Retained,core
106,0.15753253253253252,G4_2t_short,Retained,core
107,0.16203703703703703,G4_2t_short,Retained,core
108,0.16266266266266266,G4_2t_short,Retained,core
109,0.15715715715715717,G4_2t_short,Retained,core
110,0.15327827827827828,G4_2t_short,Retained,core
111,0.14714714714714713,G4_2t_short,Retained,core
112,0.14014014014014015,G4_2t_short,Retained,core
113,0.13663663663663664,G4_2t_short,Retained,core
114,0.13288288288288289,G4_2t_short,Retained,core
115,0.122997997997998,G4_2t_short,Retained,core
116,0.11248748748748749,G4_2t_short,Retained,core
117,0.09822322322322323,G4_2t_short,Retained,core
118,0.07732732732732733,G4_2t_short,Retained,core
119,0.06694194194194195,G4_2t_short,Retained,core
120,0.0656906906906907,G4_2t_short,Retained,right
121,0.06919419419419419,G4_2t_short,Retained,right
122,0.07557557557557558,G4_2t_short,Retained,right
123,0.07895395395395395,G4_2t_short,Retained,right
124,0.08946446446446446,G4_2t_short,Retained,right
125,0.09534534534534535,G4_2t_short,Retained,right
126,0.1031031031031031,G4_2t_short,Retained,right
127,0.10422922922922923,G4_2t_short,Retained,right
128,0.1041041041041041,G4_2t_short,Retained,right
129,0.10510510510510511,G4_2t_short,Retained,right
130,0.10472972972972973,G4_2t_short,Retained,right
131,0.10510510510510511,G4_2t_short,Retained,right
132,0.10197697697697698,G4_2t_short,Retained,right
133,0.09584584584584585,G4_2t_short,Retained,right
134,0.08783783783783784,G4_2t_short,Retained,right
135,0.08158158158158157,G4_2t_short,Retained,right
136,0.06856856856856856,G4_2t_short,Retained,right
137,0.05980980980980981,G4_2t_short,Retained,right
138,0.04379379379379379,G4_2t_short,Retained,right
139,0.028153153153153154,G4_2t_short,Retained,right
0,0.013388388388388388,G4_2t_long,Retained,left
1,0.019394394394394394,G4_2t_long,Retained,left
2,0.02877877877877878,G4_2t_long,Retained,left
3,0.03866366366366367,G4_2t_long,Retained,left
4,0.0523023023023023,G4_2t_long,Retained,left
5,0.05905905905905906,G4_2t_long,Retained,left
6,0.06844344344344344,G4_2t_long,Retained,left
7,0.0731981981981982,G4_2t_long,Retained,left
8,0.08170670670670671,G4_2t_long,Retained,left
9,0.0890890890890891,G4_2t_long,Retained,left
10,0.1031031031031031,G4_2t_long,Retained,left
11,0.10748248248248249,G4_2t_long,Retained,left
12,0.11373873873873874,G4_2t_long,Retained,left
13,0.12237237237237238,G4_2t_long,Retained,left
14,0.14426926926926928,G4_2t_long,Retained,left
15,0.1544044044044044,G4_2t_long,Retained,left
16,0.16616616616616617,G4_2t_long,Retained,left
17,0.1707957957957958,G4_2t_long,Retained,left
18,0.17717717717717718,G4_2t_long,Retained,left
19,0.23160660660660662,G4_2t_long,Retained,left
20,0.258008008008008,G4_2t_long,Retained,core
21,0.25825825825825827,G4_2t_long,Retained,core
22,0.25262762762762764,G4_2t_long,Retained,core
23,0.24411911911911913,G4_2t_long,Retained,core
24,0.23573573573573572,G4_2t_long,Retained,core
25,0.23398398398398398,G4_2t_long,Retained,core
26,0.22947947947947947,G4_2t_long,Retained,core
27,0.2256006006006006,G4_2t_long,Retained,core
28,0.21946946946946946,G4_2t_long,Retained,core
29,0.21771771771771772,G4_2t_long,Retained,core
30,0.2172172172172172,G4_2t_long,Retained,core
31,0.2120870870870871,G4_2t_long,Retained,core
32,0.20407907907907907,G4_2t_long,Retained,core
33,0.2017017017017017,G4_2t_long,Retained,core
34,0.19982482482482483,G4_2t_long,Retained,core
35,0.19582082082082083,G4_2t_long,Retained,core
36,0.19507007007007007,G4_2t_long,Retained,core
37,0.19244244244244244,G4_2t_long,Retained,core
38,0.19544544544544545,G4_2t_long,Retained,core
39,0.1943193193193193,G4_2t_long,Retained,core
40,0.18893893893893893,G4_2t_long,Retained,core
41,0.1878128128128128,G4_2t_long,Retained,core
42,0.18606106106106107,G4_2t_long,Retained,core
43,0.18906406406406406,G4_2t_long,Retained,core
44,0.18593593593593594,G4_2t_long,Retained,core
45,0.18043043043043044,G4_2t_long,Retained,core
46,0.17980480480480482,G4_2t_long,Retained,core
47,0.18093093093093093,G4_2t_long,Retained,core
48,0.1778028028028028,G4_2t_long,Retained,core
49,0.17517517517517517,G4_2t_long,Retained,core
50,0.17054554554554555,G4_2t_long,Retained,core
51,0.1717967967967968,G4_2t_long,Retained,core
52,0.17304804804804805,G4_2t_long,Retained,core
53,0.16991991991991992,G4_2t_long,Retained,core
54,0.1662912912912913,G4_2t_long,Retained,core
55,0.16854354354354353,G4_2t_long,Retained,core
56,0.16754254254254256,G4_2t_long,Retained,core
57,0.16754254254254256,G4_2t_long,Retained,core
58,0.1652902902902903,G4_2t_long,Retained,core
59,0.16754254254254256,G4_2t_long,Retained,core
60,0.16741741741741742,G4_2t_long,Retained,core
61,0.16704204204204204,G4_2t_long,Retained,core
62,0.1664164164164164,G4_2t_long,Retained,core
63,0.1662912912912913,G4_2t_long,Retained,core
64,0.1652902902902903,G4_2t_long,Retained,core
65,0.16341341341341342,G4_2t_long,Retained,core
66,0.16316316316316315,G4_2t_long,Retained,core
67,0.16591591591591592,G4_2t_long,Retained,core
68,0.16353853853853853,G4_2t_long,Retained,core
69,0.16253753753753752,G4_2t_long,Retained,core
70,0.16166166166166165,G4_2t_long,Retained,core
71,0.16328828828828829,G4_2t_long,Retained,core
72,0.16228728728728728,G4_2t_long,Retained,core
73,0.16166166166166165,G4_2t_long,Retained,core
74,0.16216216216216217,G4_2t_long,Retained,core
75,0.15965965965965967,G4_2t_long,Retained,core
76,0.16353853853853853,G4_2t_long,Retained,core
77,0.16016016016016016,G4_2t_long,Retained,core
78,0.15753253253253252,G4_2t_long,Retained,core
79,0.15815815815815815,G4_2t_long,Retained,core
80,0.15840840840840842,G4_2t_long,Retained,core
81,0.1544044044044044,G4_2t_long,Retained,core
82,0.1527777777777778,G4_2t_long,Retained,core
83,0.1514014014014014,G4_2t_long,Retained,core
84,0.1488988988988989,G4_2t_long,Retained,core
85,0.14314314314314314,G4_2t_long,Retained,core
86,0.14201701701701702,G4_2t_long,Retained,core
87,0.14226726726726727,G4_2t_long,Retained,core
88,0.1415165165165165,G4_2t_long,Retained,core
89,0.14076576576576577,G4_2t_long,Retained,core
90,0.1378878878878879,G4_2t_long,Retained,core
91,0.1388888888888889,G4_2t_long,Retained,core
92,0.13763763763763764,G4_2t_long,Retained,core
93,0.1338838838838839,G4_2t_long,Retained,core
94,0.13225725725725726,G4_2t_long,Retained,core
95,0.13200700700700702,G4_2t_long,Retained,core
96,0.13038038038038038,G4_2t_long,Retained,core
97,0.13088088088088087,G4_2t_long,Retained,core
98,0.1325075075075075,G4_2t_long,Retained,core
99,0.13413413413413414,G4_2t_long,Retained,core
100,0.1325075075075075,G4_2t_long,Retained,core
101,0.1325075075075075,G4_2t_long,Retained,core
102,0.13025525525525525,G4_2t_long,Retained,core
103,0.13075575575575576,G4_2t_long,Retained,core
104,0.13175675675675674,G4_2t_long,Retained,core
105,0.12925425425425424,G4_2t_long,Retained,core
106,0.1275025025025025,G4_2t_long,Retained,core
107,0.12462462462462462,G4_2t_long,Retained,core
108,0.12424924924924925,G4_2t_long,Retained,core
109,0.12137137137137137,G4_2t_long,Retained,core
110,0.11736736736736737,G4_2t_long,Retained,core
111,0.11311311311311312,G4_2t_long,Retained,core
112,0.10698198198198199,G4_2t_long,Retained,core
113,0.1036036036036036,G4_2t_long,Retained,core
114,0.09972472472472473,G4_2t_long,Retained,core
115,0.09346846846846847,G4_2t_long,Retained,core
116,0.08408408408408409,G4_2t_long,Retained,core
117,0.0746996996996997,G4_2t_long,Retained,core
118,0.05993493493493494,G4_2t_long,Retained,core
119,0.05067567567567568,G4_2t_long,Retained,core
120,0.04441941941941942,G4_2t_long,Retained,right
121,0.04366866866866867,G4_2t_long,Retained,right
122,0.05055055055055055,G4_2t_long,Retained,right
123,0.053678678678678676,G4_2t_long,Retained,right
124,0.05555555555555555,G4_2t_long,Retained,right
125,0.05618118118118118,G4_2t_long,Retained,right
126,0.0543043043043043,G4_2t_long,Retained,right
127,0.0533033033033033,G4_2t_long,Retained,right
128,0.052552552552552555,G4_2t_long,Retained,right
129,0.05155155155155155,G4_2t_long,Retained,right
130,0.04967467467467467,G4_2t_long,Retained,right
131,0.04842342342342342,G4_2t_long,Retained,right
132,0.046296296296296294,G4_2t_long,Retained,right
133,0.045295295295295294,G4_2t_long,Retained,right
134,0.04316816816816817,G4_2t_long,Retained,right
135,0.039414414414414414,G4_2t_long,Retained,right
136,0.03053053053053053,G4_2t_long,Retained,right
